"subject";"product";"rep";"Energizing";"Familiarity";"Liking";"Relaxing";"Wanting"
"1";"S001";"I11a";"1";1;1;1;1;1
"2";"S001";"I11b";"1";1;1;1;1;1
"3";"S001";"I12a";"1";5;5;5;5;5
"4";"S001";"I12b";"1";2;2;3;2;1
"5";"S001";"I1N";"1";3.5;4;4.5;4;4.5
"6";"S001";"I21a";"1";2;1;2;1;1
"7";"S001";"I21b";"1";2;1;2;1;1
"8";"S001";"I22a";"1";3;4;5;4;5
"9";"S001";"I22b";"1";2;2;3;2;1
"10";"S001";"I2N";"1";2;4.5;4.5;3;3.5
"11";"S001";"I31a";"1";1;2;2;1;1
"12";"S001";"I31b";"1";1;1;1;1;1
"13";"S001";"I32a";"1";3;5;5;5;5
"14";"S001";"I32b";"1";5;5;5;3;5
"15";"S001";"I3N";"1";4;5;5;5;5
"16";"S001";"I41a";"1";3;2;1;1;1
"17";"S001";"I41b";"1";2;1;2;1;1
"18";"S001";"I42a";"1";5;5;5;5;5
"19";"S001";"I42b";"1";5;5;5;5;5
"20";"S001";"I4N";"1";2.5;5;4.5;5;5
"21";"S001";"O1";"1";2;1;1;1;1
"22";"S001";"O10";"1";2;3;5;5;5
"23";"S001";"O11";"1";5;4;4;1;4
"24";"S001";"O12";"1";1;1;1;1;1
"25";"S001";"O2";"1";2;5;2;2;1
"26";"S001";"O3";"1";4;4;4;3;5
"27";"S001";"O4";"1";3;1;1;1;1
"28";"S001";"O5";"1";5;3;3;1;3
"29";"S001";"O6";"1";1;1;1;1;1
"30";"S001";"O7";"1";5;5;5;1;4
"31";"S001";"O8";"1";5;5;5;1;5
"32";"S001";"O9";"1";1;1;1;1;1
"33";"S002";"I11a";"1";1;1;1;1;1
"34";"S002";"I11b";"1";1;1;1;1;1
"35";"S002";"I12a";"1";3;5;5;4;5
"36";"S002";"I12b";"1";3;3;4;2;1
"37";"S002";"I1N";"1";2.5;5;5;3.5;4.5
"38";"S002";"I21a";"1";1;2;4;2;1
"39";"S002";"I21b";"1";3;5;5;3;3
"40";"S002";"I22a";"1";2;4;5;4;4
"41";"S002";"I22b";"1";3;4;5;3;5
"42";"S002";"I2N";"1";5;5;4.5;3;4.5
"43";"S002";"I31a";"1";1;1;1;1;1
"44";"S002";"I31b";"1";1;3;1;1;1
